0,184,1
0,777,2
0,407,8
0,429,3
0,145,2
0,440,1
0,14,1
1,262,5
2,997,1
2,34,2
2,105,2
2,284,2
2,410,2
2,145,2
2,70,2
3,2,1
4,509,4
5,510,2
1198,6,1
6,388,1
6,4,1
6,104,2
6,511,1
7,6,1
8,6,3
9,13,1
10,13,28
11,13,73
12,13,2
13,512,1
13,34,2
13,513,4
14,13,2
15,13,1
4304,13,3
16,13,5
17,13,2
13,514,1
13,515,3
2479,13,1
13,820,3
498,13,13
18,13,1
480,13,2
369,13,6
19,13,2
20,13,1
13,100,2
2178,13,4
21,13,1
22,13,2
4888,13,1
23,13,1
13,8109,5
13,130,4
24,13,1
958,13,1
13,382,4
13,216,1
25,13,1
26,13,1
27,13,3
28,13,4
2356,13,2
504,13,1
203,13,17
29,13,1
30,516,1
31,30,6
2178,305,7
32,305,23
1298,305,3
33,4982,4
34,33,1
35,33,3
36,33,11
10,37,15
37,197,4
32,37,2
11,137,14
11,20,2
19,11,8
11,130,7
11,4795,16
12,11,19
11,197,5
10,11,4
11,34,2
11,369,25
16,11,6
11,14,3
11,358,10
38,11,3
11,480,1
2178,11,12
11,359,1
11,1293,4
17,11,13
11,514,1
11,99,3
11,2822,1
39,11,7
11,498,4
11,25,3
647,11,1
11,150,14
11,434,7
11,70,4
11,305,1
11,23,1
11,215,4
2639,11,1
11,1321,4
11,1466,1
11,517,4
11,5913,1
11,518,1
40,519,3
38,147,2
38,376,1
38,80,2
38,369,2
38,382,3
38,130,6
38,2178,3
38,12,7
38,32,2
38,16,2
38,137,1
38,820,1
38,25,3
38,34,3
38,45,1
38,356,2
38,958,1
38,100,1
38,4888,1
38,15,2
38,146,2
38,205,1
38,14,2
38,480,1
2356,41,2
41,1293,3
41,110,1
42,41,1
41,130,1
41,520,1
43,521,2
44,522,4
45,20,3
45,130,3
45,9191,1
5,45,2
45,72,1
45,75,2
45,179,2
45,146,2
45,3,2
45,8592,1
45,142,3
45,777,1
45,254,1
45,8109,1
45,6928,1
45,14,1
45,3562,1
45,34,1
45,100,1
45,5913,2
45,314,3
46,47,4
47,1735,1
48,50,3
49,50,9
50,523,1
50,328,1
50,316,1
51,220,1
51,184,15
51,186,6
51,74,3
51,369,4
51,36,5
52,51,3
51,145,3
39,51,1
51,223,3
51,95,3
51,451,3
51,100,1
51,4982,1
51,524,2
53,51,2
51,77,2
54,51,1
51,85,1
51,125,1
51,75,2
51,3,1
51,373,2
51,174,3
51,0,1
55,51,2
56,525,1
775,271,2
57,58,1
4253,58,1
52,58,3
1996,58,5
58,279,1
1437,58,1
59,104,3
60,61,2
61,526,3
61,342,1
62,61,1
63,61,1
64,61,1
1293,527,1
65,1293,2
1293,8109,1
66,1293,1
2356,1293,3
1293,130,2
1293,8862,1
1293,9751,7
1293,528,3
1293,391,3
67,1293,2
52,1293,6
1293,272,3
68,1293,1
69,1293,3
3,1293,2
1293,184,1
1293,418,2
70,1293,1
1293,271,5
1293,15,4
71,1293,2
1293,192,12
1293,524,12
1293,4795,1
1293,147,2
1293,3924,1
0,1293,1
1630,1293,3
1293,4982,5
72,1293,1
73,1293,3
74,1293,7
75,1293,5
1293,281,1
1287,1293,4
76,1293,1
77,1293,4
1293,319,1
1585,1293,1
1293,97,1
1293,458,3
78,1293,2
1996,1293,7
79,1293,1
80,1293,2
1293,6936,1
81,1293,1
1293,283,4
82,1293,2
83,1293,1
1293,33,1
38,1293,1
1293,377,1
2564,1293,1
10,1293,7
498,1293,2
84,451,2
84,373,4
1437,275,3
391,130,1
391,314,2
12,391,6
85,100,1
86,1884,3
52,1884,4
87,529,1
88,352,1
2178,88,5
88,130,2
88,25,2
88,142,2
16,88,1
88,8109,1
12,88,2
88,14,1
88,498,4
2356,88,2
39,88,1
88,369,1
89,91,1
67,91,1
90,91,1
91,130,1
46,91,1
91,97,2
4253,93,1
92,93,1
93,275,1
93,4982,1
460,98,1
3,98,2
52,98,1
94,98,1
95,98,2
96,98,3
97,98,6
39,98,1
98,429,2
99,98,1
80,98,2
100,98,2
101,98,1
74,98,5
102,98,3
103,98,1
777,98,1
104,98,2
105,98,2
4795,98,6
51,98,1
106,98,1
107,98,1
958,98,1
77,98,1
16,98,2
32,1298,2
108,1298,3
109,424,1
110,530,3
111,522,3
112,111,1
49,311,3
113,49,3
49,68,2
31,531,9
114,531,2
115,531,1
116,388,1
117,532,2
118,532,12
1437,271,3
77,1437,3
3,1437,4
1437,401,1
113,1437,3
1437,254,1
1437,533,2
1437,184,3
119,1437,1
1437,5417,1
0,1437,1
1437,777,2
1437,285,1
1437,375,1
120,1437,1
1437,418,1
1437,100,2
1437,5287,1
1437,157,1
1437,440,1
121,1437,1
52,1437,1
67,1437,4
1437,4982,1
1437,279,4
1437,276,1
122,1437,1
1437,3742,1
1437,373,1
1437,534,1
123,1437,2
1437,775,1
1925,1437,1
1437,535,1
80,1437,2
124,1437,2
1437,318,1
125,1437,1
1437,407,2
1437,201,1
75,1437,7
126,1437,1
1437,97,1
1437,536,1
1437,95,1
112,100,1
112,130,1
112,20,1
369,112,2
112,29,1
127,112,1
112,537,2
112,538,1
128,112,5
112,495,3
129,539,1
504,134,1
130,134,1
100,134,1
20,134,1
23,134,1
34,134,2
131,134,1
4304,134,1
132,134,3
133,134,1
16,134,2
134,522,3
4,134,4
647,135,1
131,135,1
11,135,1
10,135,5
135,540,2
135,314,2
136,541,4
137,541,2
138,40,5
110,138,3
139,31,3
140,425,1
128,140,5
5,938,2
938,153,2
938,481,8
938,524,2
74,210,2
141,210,2
3924,210,1
142,4908,1
143,142,1
0,142,1
142,6928,1
144,142,1
142,184,5
142,375,1
142,418,3
121,142,1
102,142,1
145,142,1
146,142,4
80,142,3
74,142,8
142,107,3
58,142,1
142,3742,2
52,142,2
811,142,6
147,142,2
142,220,1
148,142,1
142,542,3
