author,mean_score,leaning
god_killer1234567,0.9530568000000001,protrump
touchmyfuckingcoffee,0.96753205,protrump
wee-tod-did,0.6873693133333333,protrump
vegetarianrobots,0.03485008642857143,antitrump
gogolmogol,0.99602795,protrump
ImFunnyBoy,0.043638457,antitrump
slkern,0.7730863,protrump
KinkotheClown,0.4359936,neutral
Stagetek,0.9958021,protrump
Schrodingerspussay,0.97928625,protrump
col_ofpopcorn,0.5483361000000001,neutral
Ropetech,0.9937325,protrump
wolfington12,0.9925558000000001,protrump
AwesomeAF1,0.9717944,protrump
Xazch_,0.13459356,antitrump
hockeyboi,0.9132764585714284,protrump
nobp,0.9934040000000001,protrump
pajamaphile,0.7416544079999999,protrump
TXscales,0.429840635,neutral
LaRoach,0.98413265,protrump
rev_g33k,0.08303979,antitrump
Xero-One,0.048575882,antitrump
Cat_agitator,0.99646,protrump
LimonPoker,0.019900478,antitrump
outfunned,0.567167965,neutral
superdabu2,0.9905257,protrump
hildegardwash,0.74055904,protrump
Jayshwa,0.9521980999999999,protrump
usernemame,0.036625132000000005,antitrump
Happy1013,0.9809621,protrump
maxout2142,0.36535960166666664,antitrump
ytguy1223,0.96340585,protrump
